time,Tỉnh,Nhiệt_độ,Độ_ẩm,Tốc_độ_gió,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,ozone
2026-04-15T04:30,Hà Nội,25.9,96,6.5,45.8,49.7,301.0,26.3,58.0
2026-04-15T04:30,Hải Phòng,26.4,91,6.6,24.0,28.3,188.0,10.7,69.0
2026-04-15T04:30,Quảng Ninh,27.1,90,5.1,22.3,28.1,207.0,5.8,80.0
2026-04-15T04:30,Lào Cai,25.0,96,3.1,82.0,96.4,592.0,22.6,66.0
2026-04-15T04:30,Đà Nẵng,24.7,82,4.8,25.6,28.5,414.0,19.1,44.0
2026-04-15T04:30,Huế,25.6,91,2.3,41.8,43.9,349.0,8.7,22.0
2026-04-15T04:30,Quảng Nam,25.0,82,5.1,54.4,57.0,322.0,20.0,10.0
2026-04-15T04:30,Khánh Hòa,23.3,97,1.6,32.0,34.2,470.0,14.0,46.0
2026-04-15T05:00,Bình Dương,26.5,87,7.1,37.8,40.3,292.0,39.6,24.0
2026-04-15T05:00,Cần Thơ,25.1,93,4.7,50.8,53.1,237.0,25.0,33.0
2026-04-15T05:00,Kiên Giang,27.6,85,11.2,33.9,36.0,204.0,18.0,40.0
